Charity Reg. No.,Trust Name,Geo Area,Project Alignments ,Website / CC Record,Next Steps,Giving total (year),Grant Range,Average Gift,Potential ask value,Correspondent Name,,Relationship status,Previous application or funder,Contact Details,,Happy to receive intro calls / emails?,Application type,Application details,Application deadlines,Grant making policy details,Multi-year grants avaliable?,,,,,,,
,,,,,,,,,,Full name including Title and Post-Nominal (OBE etc),Job Title,,,Address + Telephone,Email,,,,,,,,,,,,,
1150550,4Daughters Charitable Trust ,"England, Wales, Israel and USA","Children, Health, Disability",FOUR DAUGHTERS CHARITABLE TRUST - 1150550,Exploratory call / email needed.,"£87,500",-,"£17,500","£12,500",-,-,Cold,-,"15 Eton Garages
Lambolle Place
London
NW3 4PE
Phone:	02033285601",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1015938,A H Blakemore Foundation,UK,Local community,https://afblakemore.com/about-us/our-community,Application required ,-,-,-,£200,-,-,Cold,-,-,-,No,Online,Online applications only,Ongoing,-,No,,,,,,,
-,Abbvie,UK,"Health, community",https://www.abbvie.co.uk/societal-impact/for-the-strength-of-our-communities/grants-and-donations.html,Application required ,-,-,-,"£5,000",-,-,Cold,-,-,-,No,Online,Online applications only,Cycle will open in 2026 - check website for specific dates,See website - must leave teo years between successful apps.,No,,,,,,,
1140051,Adfal Trust ,Worldwide,Health,THE ADFAL TRUST - 1140051,Awaiting outcome,"£154,000",-,"£3,600","£3,600",-,-,Cold,-,"New Leaze Farm
East Knoyle
Salisbury
SP3 6au
Phone:	01747850802",-,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
265290,Adint Charitable Trust ,UK,Health,THE ADINT CHARITABLE TRUST - 265290,Exploratory call / email needed.,"£87,500",-,"£8,194","£5,000",-,-,Cold,-,"Hazlewoods
Windsor House
Bayshill Road
CHELTENHAM
Gloucestershire
GL50 3AT",adintct@btinternet.com,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
1194723,Ahavas Chesed Trust,Worldwide,Health,AHAVAS CHESED TRUST - 1194723,Exploratory call / email needed.,"£2,952,541",-,-,"£1,000",-,-,Cold,-,"12 HOLLAND ROAD
MANCHESTER
M8 4NP
01616604528",office@actmcr.org.uk,No indication but contact details are avaliable.,TBC,TBC,TBC,TBC,TBC,,,,,,,
295913,Albert Edward Procter Charitable Trust,UK,General,THE ALBERT EDWARD PROCTER CHARITABLE TRUST - 295913,Awaiting outcome,-,-,-,-,-,-,Cold,-,"Ludlow Trust Company Limited
First Floor
Tower Wharf
Cheese La
TOWER WHARF
CHEESE L
Phone:	01173138200",charitabletrusts@ludlowtrust.com,-,Online,Applications are made online via the Ludlow Portal,Ongoing,-,-,,,,,,,
1193970,Albert Gubay Charitable Foundation,UK,Hospices,albertgubayfoundation.org,Application required ,-,-,-,"£10,000",-,-,Cold,-,"3 DENMARK STREET
ALTRINCHAM
WA14 2SS
Phone:	01617037992",enquiries@theagfoundation.org,No indication but contact details are avaliable.,Online,Eligibility must be completed online before an online application can be made.,Ongoing,See website - Project costs only (no more than 50%),Yes,,,,,,,
1091660,Alborada Trust,UK & Overseas,Healthcase / Wellness,https://www.alboradatrust.com/,Exploratory call / email needed.,£5.4m (2024),"Over £25,000","£186,206","£100,000                       over 2 - 3 years",-,-,Cold,-,"Lanwades Stud
Moulton
Newmarket                                      Suffolk 
CB8 8QS","director@alboradatrust.com

assistant@alboradatrust.com",Encouraged!,Online,"All applications must be made online, in a 2 phase process.  Applicantions that will be presented to the Board will receive a preliminary visit or call.",Ongoing - The board meets in Spring and Autumn,See website,Yes,,,,,,,
