fund_url,fund_name,applicant_types,geographic_scope,beneficiary_focus,funding_range,restrictions,application_status,deadline,notes,eligibility,evidence,pages_scraped,visited_urls_count,extraction_timestamp,error
https://www.quartetcf.org.uk,www.quartetcf.org.uk,Community/Voluntary Group; Registered Charity; Community Interest Company (CIC); Town Councils; Parish Councils; Community Benefit Societies,"West of England (Bristol, Bath and North East Somerset, North Somerset, South Gloucestershire)",Local residents; People living in poverty/disadvantage; People living with learning disabilities; Families/parents; Carers; People living with physical or sensory disabilities; Refugees/asylum seekers/vulnerable migrants; Victims or survivors of crime/violence/abuse; People living with mental health problems; People living in urban areas; People who self-identify as LGBTQ+,"£500 - £50,000","Sports projects with no community or charitable element; Privately owned and profit distributing companies; To cover costs incurred before a grant can be awarded; To solely/primarily support animal welfare; Arts projects with no community or charitable element; Where the government and other public bodies currently have a statutory responsibility to provide the service; Medical research, equipment or treatment; Groups or activities that are giving support to a political party; Where it is intended to influence people’s religious choices",open,,The group or organisation receiving a grant must be not-for-profit and have charitable aims.,Possibly Eligible,[Score: 45] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: families; services: care | ✓ Applications open | ✗✗ CRITICAL: Core activities may be excluded - medical,15,15,2025-10-13 09:32:18,
https://www.cheshirecommunityfoundation.org.uk,www.cheshirecommunityfoundation.org.uk,charities; non-profit organizations,Crewe,young people; people with disabilities; marginalized communities; low-income families,"up to £2,500","annual turnover under £250,000; must be based within the Crewe area",open,2nd November 2025,All funds must be spent within 6 months of their award.,Low Match,"[Score: 25] ✓ Registered charities eligible | ✓ Beneficiary alignment: age groups: young people, families | ✓ Funding available but small: up to £2,500 | ✓ Applications open | ⏰ Deadline: 2nd November 2025 | ✗ Geographic mismatch: crewe | ⚠ Restrictions apply: annual turnover under £250,000; must be based within the crewe area...",15,15,2025-10-13 09:38:59,
https://www.essexcommunityfoundation.org.uk,www.essexcommunityfoundation.org.uk,charities; voluntary organisations,Essex,children and young people; people with disabilities; older communities; victims of crime; mental health; community safety; environment; housing and homelessness; fairness and equality; sport,"£500 - £20,000",,open,,Grants are awarded to support projects that benefit the local community.,Possibly Eligible,"[Score: 30] ✓ Registered charities eligible | ✓ Beneficiary alignment: age groups: children, young people; general health/care | ✓ Applications open | ✗ Geographic mismatch: essex",15,15,2025-10-13 09:44:23,
https://www.sussexgiving.org.uk,www.sussexgiving.org.uk,,Sussex,health; environment; employment; social isolation,£30 million given in grants,,open,,Empower communities by making grants that address specific needs.,Low Match,[Score: 10] ✓ Beneficiary alignment: general health/care | ✓ Applications open | ✗ Geographic mismatch: sussex | ⚠ Large grants only (£500k+) - may be competitive: £30 million given in grants,1,9,2025-10-13 09:48:23,
https://clothworkersfoundation.org.uk,clothworkersfoundation.org.uk,UK-registered charities; organisations that can demonstrate their not-for-profit status with appropriate asset locks (e.g. CICs without share capital and Community Benefit Societies),UK,disadvantaged and marginalised people and communities; communities experiencing racial inequalities; people with physical and/or learning disabilities; people struggling with mental health; adults and children affected by domestic or sexual abuse; individuals or communities experiencing poverty and deprivation; people who are homeless or at risk of becoming homeless; LGBT+ communities; older people facing disadvantage; people in prison and their families; people and families affected by drugs and/or alcohol misuse; young people facing disadvantages,"Small Grants: up to £15,000; Large Grants: more than £15,000","organisations with a turnover of more than £2 million cannot apply for a small grant; organisations that have received a grant offer from us within the past five years; organisations that promote a particular religion or only provide services to people of a particular religion; organisations that promote a particular political party, or seek to influence the way people vote; organisations that have had an application declined in the past six months; those with more than £10 million income per annum; those that primarily provide services to other organisations; hospices and NHS charities; grantmaking organisations; schools, colleges or universities unless its students are exclusively individuals with physical and/or learning disabilities; special schools that are part of a multi-academy trust with total income of more than £10 million (Large grant), or £2 million (Small grant); almshouses",open,,You must complete the Eligibility Quiz before applying.,Eligible,"[Score: 55] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people, adults; general health/care | ✓ Funding size appropriate: small grants: up to £15,000; large grants: more than £15,000 | ✓ Applications open | ✗✗ CRITICAL: Core activities may be excluded - hospice, hospices",15,15,2025-10-13 09:52:44,
https://www.mcf.org.uk,www.mcf.org.uk,charities,England and Wales,Early Years (0-5); children affected by domestic abuse; children with special educational needs and disabilities; people with dementia and their carers,"Small grants: £1,000 – £5,000; Large grants: £10,000 - £60,000","Arts and heritage; Environmental; Animal welfare; Statutory obligations; Routine delivery of the National Curriculum in schools; The sole aim of promoting civil liberties and human rights; Political or lobbying activities; Contributions towards new build and/or large scale capital projects; Capital repairs and/or maintenance of existing buildings; Hospital equipment, such as MRI scanners; The promotion of any religious doctrine; Contributions to general appeals; Retrospective funding; Academic research; Charities from which the MCF will not consider applications; Current active MCF Small or Large grant holders; Charities whose previous Small or Large grant ended less than 2 years ago; Charities who have submitted an expression of interest within the last 12 months; Umbrella organisations coordinating fundraising on behalf of others; Third parties seeking funding or organisations coordinating funds on behalf of others; Social Enterprises, Community Interest Companies or Community interest groups, or exempt charities; Hospices; Schools (for routine delivery activities to non-priority groups); Nurseries (for routine delivery activities to non-priority groups); Hospitals (for routine delivery activities to non-priority groups); Churches or other religious institutions; Individuals",open,,"Charities must be registered with the Charity Commission or relevant Central registry of the respective Guernsey, Jersey or Isle of Man’s government. Charities must have at least one year of independently examined or audited accounts published on the Charity Commission website for the registered charity number they are applying from.",Eligible,"[Score: 60] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children; services: care | ✓ Funding size appropriate: small grants: £1,000 – £5,000; large grants: £10,000 - £60,000 | ✓ Applications open | ✗✗ CRITICAL: Core activities may be excluded - hospice, hospices",15,15,2025-10-13 09:59:37,
http://www.imperialcharity.org.uk/,www.imperialcharity.org.uk,,UK,patients; families; NHS staff,emergency grants; Special Purpose Funds,,unclear,,Funding for innovative projects; funding for research; funding for creative workshops,Possibly Eligible,[Score: 40] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: families; general health/care | ⚠ Application status unclear: unclear,13,15,2025-10-13 10:08:31,
https://www.peopleshealthtrust.org.uk,www.peopleshealthtrust.org.uk,Voluntary sector (non-profit) organisations that are constituted or registered in Great Britain,"Great Britain, specifically six regions of England and all of Scotland",communities experiencing health inequalities; people experiencing financial and social disadvantage; marginalised and discriminated groups; young people aged 16-24 experiencing mental health problems,"£20,000 - £40,000",Organisations with annual incomes higher than £1 million are unlikely to be funded; Partnerships must have a lead partner and cannot outsource the whole delivery,open,February/March 2024,Organisations must demonstrate a clear track record in supporting access to natural spaces and/or providing mental health support,Highly Eligible,"[Score: 75] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people; general health/care | ✓ Funding size appropriate: £20,000 - £40,000 | ✓ Applications open | ⏰ Deadline: February/March 2024 | ⚠ Restrictions apply: organisations with annual incomes higher than £1 million are unlikely to be funded; partnerships mus...",15,15,2025-10-13 10:16:17,
https://www.londoncatalyst.org.uk,www.londoncatalyst.org.uk,,London,Londoners; people living in London,"£300,000 - £350,000",,paused,,Main Grants Programme and Hardship Grants available; Partners for Health Programme is currently paused for 2025.,Low Match,"[Score: 20] ✓ Regional match (South East/London) | ✓ Beneficiary alignment: general health/care | ✓ Funding size appropriate: £300,000 - £350,000 | ✗ Applications PAUSED",1,1,2025-10-13 10:24:27,
https://www.woodwardcharitabletrust.org.uk,www.woodwardcharitabletrust.org.uk,private limited companies; voluntary community groups; constituted groups/forums; hospices; gyms; sports centres; nurseries; individuals in any capacity,UK,children from disadvantaged backgrounds; families with young children up to age 11,"£500 - £1,000","charities whose annual turnover exceeds £100,000; overseas projects; trips that are only social",closed,,"Grants can only be paid to registered charities, CICs, CIOs or exempt charities. Trustees will only fund up to 50% of the total cost of a scheme.",Low Match,"[Score: 10] ✓ Hospice/palliative care organisations explicitly eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, families | ✗ Applications CLOSED | ⚠ Restrictions apply: charities whose annual turnover exceeds £100,000; overseas projects; trips that are only social...",15,15,2025-10-13 10:24:35,
