All Grants,Earliest Award,Grants,Grants To Individuals,Grants To Organisations,Largest Amount,Largest Amount  (USD),Latest Award,Smallest Amount,Smallest Amount  (USD),Total Amount,Total Amount (USD),additional_active,additional_charitynumber,additional_companynumber,additional_dateregistered,additional_dateremoved,additional_last_modified,additional_latestincome,additional_latestincomedate,additional_linked_orgs,additional_linked_orgs_verified,additional_name,additional_organisationtype,additional_organisationtypeprimary,additional_orgids,additional_postalcode,additional_source,appears_as,name,org_ids,fund_url,organisationtypeprimary,other_names
,07-Nov-15,,,182,"£996,000",,06-Jun-25,"£1,000",,"£13,524,855",,TRUE,1180520,,01/11/2018,,2025-12-01 01:08:12.011534+00:00,595488,31/12/2024,"GB-CHC-1180520, GB-COH-CE015509",GB-CHC-1180520,JOFFE CHARITABLE TRUST CIO,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1180520,EC1Y 0TG,ccew,"Funder, Recipient, Publisher",Joffe Charitable Trust,Org IDsGB-CHC-1180520,https://joffetrust.org,Registered Charity,Other Names used in the dataJOFFE CHARITABLE TRUST CIO
,25-Nov-09,,,"1,217","£5,000,000",,01-Mar-25,£80,,"£47,921,884",,TRUE,267618,,07/04/1975,,2025-12-01 01:08:12.011534+00:00,3899594,31/12/2024,"GB-CHC-267618, GB-CHC-245177",GB-CHC-267618,THE WESTMINSTER FOUNDATION,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-267618,W1K 3JP,ccew,"Funder, Publisher",Westminster Foundation,Org IDsGB-CHC-267618,https://www.westminsterfoundation.org.uk,Registered Charity,Other Names used in the dataTHE WESTMINSTER FOUNDATION
,01-Apr-09,,,223,"£998,145",,04-Sep-24,"£1,935",,"£11,163,816",,TRUE,1140372,7472301,11/02/2011,,2025-12-01 01:08:12.011534+00:00,1443141,31/03/2025,"GB-CHC-1140372, GB-COH-07472301, XI-ROR-05ayqqv15, GB-CHC-294286, XI-GRID-grid.453271.6","GB-CHC-1140372, GB-COH-07472301",Vivensa Foundation,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1140372, GB-COH-07472301",WC2R 1DA,ccew,"Funder, Recipient, Publisher",Vivensa Foundation,"Org IDsGB-CHC-1140372, GB-COH-07472301",https://vivensafoundation.org.uk,Registered Charity,
,01-Dec-10,,,126,,,01-Nov-25,,,,,TRUE,1133342,,18/12/2009,,2025-12-01 01:08:12.011534+00:00,0,31/12/2024,GB-CHC-1133342,GB-CHC-1133342,ZING,"registered-charity, registered-charity-england-and-wales, trust",Registered Charity,GB-CHC-1133342,EC3A 4AF,ccew,"Funder, Recipient, Publisher",Zing,Org IDsGB-CHC-1133342,https://www.zing.org.uk,Registered Charity,Other Names used in the dataZING
,03-Nov-21,,,698,"£336,367",,25-Nov-24,£368,,"£14,380,929",,TRUE,SC044911,,06/06/2014,,2025-11-27 20:00:53.263892+00:00,14463855,31/12/2024,"GB-SC-SC044911, GB-COH-SC478727",GB-SC-SC044911,Postcode Society Trust,"registered-charity, registered-charity-scotland, registered-company, incorporated-charity",Registered Charity,GB-SC-SC044911,EH2 4ET,oscr,Funder,Postcode Society Trust,Org IDsGB-SC-SC044911,http://www.postcodesocietytrust.org.uk/,Registered Charity,
,29-Jul-22,,,127,"£50,000",,31-Mar-25,£650,,"£1,220,457",,TRUE,1143640,7183132,01/09/2011,,2025-12-01 01:08:12.011534+00:00,2102486,31/03/2024,"GB-CHC-1143640, GB-COH-07183132, GB-CHC-516150","GB-CHC-1143640, GB-COH-07183132",NOVA WAKEFIELD DISTRICT  LIMITED,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1143640, GB-COH-07183132",WF1 3LQ,ccew,"Funder, Recipient, Publisher",Nova Wakefield,"Org IDsGB-CHC-1143640, GB-COH-07183132",https://www.nova-wd.org.uk,Registered Charity,Other Names used in the dataNOVA WAKEFIELD DISTRICT  LIMITED
,10-Oct-16,,,716,"£250,000",,09-Jul-25,£157,,"£21,702,610",,TRUE,1093028,4117665,18/07/2002,,2025-12-01 01:08:12.011534+00:00,2774617,31/12/2024,"GB-CHC-1093028, GB-SC-SC048102, GB-COH-04117665","GB-CHC-1093028, GB-COH-04117665",CO-OPERATIVE COMMUNITY INVESTMENT FOUNDATION,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1093028, GB-COH-04117665",M60 0AG,ccew,"Funder, Recipient, Publisher",Coop Foundation,"Org IDsGB-CHC-1093028, GB-COH-04117665",https://www.coopfoundation.org.uk,Registered Charity,Other Names used in the dataCO-OPERATIVE COMMUNITY INVESTMENT FOUNDATION
,20-Mar-20,,,884,"£48,203",,07-Apr-25,£80,,"£5,160,116",,TRUE,1196448,,08/11/2021,,2025-12-01 01:08:12.011534+00:00,5592387,31/03/2025,"GB-CHC-1196448, GB-COH-CE027118, GB-CHC-1092328",GB-CHC-1196448,LINCOLNSHIRE COMMUNITY FOUNDATION CIO,"registered-charity, registered-charity-england-and-wales, charitable-incorporated-organisation, incorporated-charity, charitable-incorporated-organisation-foundation",Registered Charity,GB-CHC-1196448,NG34 7TW,ccew,"Funder, Recipient, Publisher",Lincolnshire Community Foundation,Org IDsGB-CHC-1196448,https://www.lincolnshirecf.co.uk,Registered Charity,Other Names used in the dataLINCOLNSHIRE COMMUNITY FOUNDATION CIO
,06-Jan-20,,,449,"£390,000",,31-Oct-24,"£1,500",,"£15,275,338",,TRUE,1050900,3130170,22/11/1995,,2025-12-01 01:08:12.011534+00:00,3439606,31/12/2024,"GB-CHC-1050900, GB-COH-03130170","GB-CHC-1050900, GB-COH-03130170",CHK Foundation,"registered-charity, registered-charity-england-and-wales, registered-company, incorporated-charity",Registered Charity,"GB-CHC-1050900, GB-COH-03130170",SG8 1EX,ccew,"Funder, Publisher",CHK Foundation,"Org IDsGB-CHC-1050900, GB-COH-03130170",https://www.chkfoundation.org.uk,Registered Charity,
,27-Sep-22,,,9,"£34,650",,27-Sep-22,"£9,880",,"£178,689",,,,,,,,,,,,,,,,,,"Funder, Publisher",10GM,Org IDs360G-10GM,,,
