fund_url,fund_name,applicant_types,geographic_scope,beneficiary_focus,funding_range,restrictions,application_status,deadline,notes,eligibility,evidence,pages_scraped,visited_urls_count,extraction_timestamp,error,source_folder
https://abcharitabletrust.org.uk,abcharitabletrust.org.uk,charities registered in the UK,UK,migrants; refugees; people seeking asylum; marginalised communities,"£10,000 - £30,000 pa",individuals; the promotion of religion; capital appeals; academic research; charities working outside the UK,open,"application deadlines for 2025/26 are as follows: Decisions in January 2026, Decisions in April 2026, Decisions in July 2026, Decisions in October 2026","Annual income must be between £150,000 and £1.5 million; must have operated for at least a year and provide a full year’s audited or independently examined accounts.",Eligible,"[Score: 60] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: £10,000 - £30,000 pa | ✓ Applications open | ⏰ Deadline: application deadlines for 2025/26 are as follows: Decisions in January 2026, Decisions in April 2026, Decisions in July 2026, Decisions in October 2026 | ⚠ Beneficiary focus unclear: migrants; refugees; people seeking asylum; marginalised communities | ⚠ Restrictions apply: individuals; the promotion of religion; capital appeals; academic research; charities working outsid...",15.0,15.0,2025-10-13 10:32:46,,abcharitabletrust.org.uk
https://bagrifoundation.org/,bagrifoundation.org,,UK,artists; cultural organisations,"£3,000",,open,,,Possibly Eligible,"[Score: 45] ✓ UK/England-wide funding (includes Kent) | ✓ Funding available but small: £3,000 | ✓ Applications open | ⚠ Beneficiary focus unclear: artists; cultural organisations",15.0,15.0,2025-10-14 10:48:30,,bagrifoundation.org
https://beaverbrookfoundation.org/,beaverbrookfoundation.org,,UK,,,,closed,,The Foundation’s funds are fully committed so no new applications are currently being accepted.,Not Eligible,[Score: -15] ✓ UK/England-wide funding (includes Kent) | ✗ Applications CLOSED,15.0,15.0,2025-10-14 11:07:28,,beaverbrookfoundation.org
https://blackheartfoundation.org/welcome/,blackheartfoundation.org,,UK,under-resourced young people; under-represented groups,"gap funding, amount assessed on an individual basis",applications not accepted between 1st November 2024 – 23rd March 2025,open,Cohort 1: Applications accepted between 24th March 2025 to 17th August 2025; Cohort 2: Applications accepted between 25th August 2025 to 31st October 2025,Applications are reviewed holistically and assessed on an individual basis; no age limit,Possibly Eligible,[Score: 35] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: young people | ✓ Applications open | ⏰ Deadline: Cohort 1: Applications accepted between 24th March 2025 to 17th August 2025; Cohort 2: Applications accepted between 25th August 2025 to 31st October 2025 | ⚠ Restrictions apply: applications not accepted between 1st november 2024 – 23rd march 2025...,15.0,15.0,2025-10-14 11:12:12,,blackheartfoundation.org_welcome
https://bluelightcardfoundation.org/,bluelightcardfoundation.org,Charities and charitable companies; Charitable Companies (limited by guarantee); Charitable Incorporated Organisations (CIO); Community Interest Companies (CIC),"England, Northern Ireland, Scotland and Wales",Blue Light staff and volunteers; individuals across multiple Blue Light services,"up to a maximum of £25,000; £2,000 for Workplace Wellbeing Fund",Contributions to general appeals or circulars; Public bodies carrying out statutory obligations; Activities that have already taken place; Activities intended to promote or advance religious beliefs/practices; Activities aimed at promoting or advancing specific political ideologies; Grant-making by other organisations; Sponsorship; Organisations under investigation by the Charity Commission/any other regulatory body; Organisations whose Charity reporting is overdue; Organisations whose accounts are qualified; Organisations with outstanding monitoring from a previous award from BLCF,closed,,Projects must support the wellbeing of Blue Light staff and volunteers; must include a sustainability plan post funding.,Not Eligible,"[Score: -5] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ⚠ Beneficiary focus unclear: blue light staff and volunteers; individuals across multiple blue light services | ⚠ Large grants only (£500k+) - may be competitive: up to a maximum of £25,000; £2,000 for workplace wellbeing fund | ✗ Applications CLOSED | ✗ Charities may be excluded - review carefully",15.0,15.0,2025-10-14 11:14:36,,bluelightcardfoundation.org
https://clothworkersfoundation.org.uk,clothworkersfoundation.org.uk,UK-registered charities; organisations that can demonstrate their not-for-profit status with appropriate asset locks (e.g. CICs without share capital and Community Benefit Societies),UK,disadvantaged and marginalised people and communities; communities experiencing racial inequalities; people with physical and/or learning disabilities; people struggling with mental health; adults and children affected by domestic or sexual abuse; individuals or communities experiencing poverty and deprivation; people who are homeless or at risk of becoming homeless; LGBT+ communities; older people facing disadvantage; people in prison and their families; people and families affected by drugs and/or alcohol misuse; young people facing disadvantages,"Small Grants: up to £15,000; Large Grants: more than £15,000","organisations with a turnover of more than £2 million cannot apply for a small grant; organisations that have received a grant offer from us within the past five years; organisations that promote a particular religion or only provide services to people of a particular religion; organisations that promote a particular political party, or seek to influence the way people vote; organisations that have had an application declined in the past six months; those with more than £10 million income per annum; those that primarily provide services to other organisations; hospices and NHS charities; grantmaking organisations; schools, colleges or universities unless its students are exclusively individuals with physical and/or learning disabilities; special schools that are part of a multi-academy trust with total income of more than £10 million (Large grant), or £2 million (Small grant); almshouses",open,,You must complete the Eligibility Quiz before applying.,Eligible,"[Score: 55] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people, adults; general health/care | ✓ Funding size appropriate: small grants: up to £15,000; large grants: more than £15,000 | ✓ Applications open | ✗✗ CRITICAL: Core activities may be excluded - hospice, hospices",15.0,15.0,2025-10-13 09:52:44,,clothworkersfoundation.org.uk
https://cornwallvsf.org/supporting/funding-category/health-and-wellbeing/,cornwallvsf.org,UK registered charities; community groups; educational institutions; small businesses; not-for-profit organisations; Community Interest Companies; individuals; voluntary and community organisations; small UK charitable arts organisations; galleries; individual artists,"UK, England, Wales, Northern Ireland","children and young adults aged 25 and under; young women and girls aged 11-25; children and young people recovering from Adverse Childhood Experiences (ACEs); parents affected by ACEs, mental illness or addiction; craft practitioners; community gardening projects; music education for young people; children, young people and adults with learning disabilities or learning difficulties","£1,000 - £80,000; Small grants: £500 - £5,000; Grants of between £1,500 and £5,000; Grants of up to £10,000; Grants of up to £25,000",projects must tackle climate change; projects must support endangered crafts; projects must promote the arts for public health; no matched funding requirement for some grants; annual income of less than £20 million for some applicants,open,5 November 2025; 31 October 2025,Organisations must check eligibility using the Eligibility Checker on the Foundation’s website; Expressions of Interest should be submitted by 5pm on the deadline date.,Eligible,"[Score: 50] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: age groups: children, young people, adults | ✓ Funding size appropriate: £1,000 - £80,000; small grants: £500 - £5,000; grants of between £1,500 and £5,000; grants of up to £10,000; grants of up to £25,000 | ✓ Applications open | ⏰ Deadline: 5 November 2025; 31 October 2025 | ✗✗ CRITICAL: Core activities may be excluded - health",15.0,15.0,2025-10-14 10:56:45,,cornwallvsf.org_supporting_funding-category_health-and-wellbeing
https://lef.org.uk,lef.org.uk,small and medium-sized organisations,UK,communities facing injustice; human rights; equalities,"under £50,000; over £50,000","based outside the UK; fewer than three trustees, company directors or partners; more general reserves than set out in their reserves policy; in serious financial deficit; projects to develop or manage pro bono legal advice; individuals or groups of individuals; organisations without access to a bank account with two signatories; projects related to commercial law; work on criminal or environmental law except where this is alongside other areas of civil law; work purely on immigration law; projects where our grant would directly replace or subsidise government, legal profession or university funding; statutory organisations; capital expenditure on buildings and vehicles; work that does not have a direct benefit in the UK; work that has already taken place; work that falls outside the Charity Commission guidance on campaigning and political activity; organisations or approaches which are not aligned with our values",open,"18 September, 5pm for first stage applications","Organisations must be doing charitable work in the UK, but do not have to be a charity.",Low Match,"[Score: 20] ✓ UK/England-wide funding (includes Kent) | ✓ Funding size appropriate: under £50,000; over £50,000 | ✓ Applications open | ⏰ Deadline: 18 September, 5pm for first stage applications | ⚠ Applicant type unclear - may need verification | ⚠ Beneficiary focus unclear: communities facing injustice; human rights; equalities | ✗ Charities may be excluded - review carefully",15.0,15.0,2025-10-13 15:15:28,,lef.org.uk
https://lordandladywolfson.org.uk/,lordandladywolfson.org.uk,UK universities,UK,preventative medicine; wellbeing; health research,,,closed,2025/2026,The Foundation is focusing on preventative healthcare and related initiatives.,Not Eligible,[Score: -15] ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: services: care | ⚠ Applicant type unclear - may need verification | ✗ Applications CLOSED,15.0,15.0,2025-10-14 15:38:32,,lordandladywolfson.org.uk
https://michaelbishopfoundation.org/,michaelbishopfoundation.org,registered charities,United Kingdom,Heritage; Arts and Culture; Education; Human Rights and Social Justice; Health and Science,"£2m - £3m annually; £1m over four years; £500,000 over three years","Animal welfare; Organisations that are not UK charities; Activities outside the UK (except the Glendonbrook Foundation); General fundraising appeals; Individuals; Overseas travel; One off events or festivals; Advancement of religion; Sports and recreation; Work which has already taken place; NHS hospital trusts; Campaigning or lobbying activities; Endowments or contributions to other grant making charities; Websites, Publications or Seminars; Property or vehicle purchase; Applications that have been turned down in the previous 12 months; Applications that do not fall within our five main areas of focus; Grants larger than your organisation’s annual turnover; New organisations that do not have a track record of delivery or do not have at least one year’s published accounts available for review",open,March and September,Applications will be reviewed twice a year in April and October; contact for alternative application methods if needed.,Eligible,"[Score: 55] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: general health/care | ✓ Applications open | ⏰ Deadline: March and September | ⚠ Very small grants only: £2m - £3m annually; £1m over four years; £500,000 over three years | ⚠ Restrictions apply: animal welfare; organisations that are not uk charities; activities outside the uk (except the glend...",5.0,5.0,2025-10-14 11:11:41,,michaelbishopfoundation.org
https://petersowerbyfoundation.org.uk/,petersowerbyfoundation.org.uk,charities; CICs; registered social and healthcare providers,"UK-wide, North Yorkshire",healthcare; community; environment; conservation; arts,"up to £500,000; substantial grants: c.£2-3million; seed funding: maximum £25,000",no unsolicited applications,open,,Projects must demonstrate clear need and impact; focus on innovation and transformation in health and social care.,Eligible,"[Score: 65] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: services: care | ✓ Applications open | ⚠ Large grants only (£500k+) - may be competitive: up to £500,000; substantial grants: c.£2-3million; seed funding: maximum £25,000 | ⚠ Restrictions apply: no unsolicited applications...",13.0,15.0,2025-10-14 11:18:03,,petersowerbyfoundation.org.uk
https://savitri.org.uk/,savitri.org.uk,charities; non-profit organizations,"India, UK",communities in rural India; vulnerable communities worldwide,"£1,000 - £14 million",funding by invitation only; must align with mission,open,,"Focus on community health, environmental health, and emergency relief grants",Eligible,"[Score: 60] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: general health/care | ✓ Applications open | ⚠ Large grants only (£500k+) - may be competitive: £1,000 - £14 million | ⚠ Restrictions apply: funding by invitation only; must align with mission...",15.0,15.0,2025-10-14 15:21:56,,savitri.org.uk
https://sfct.co.uk/,sfct.co.uk,charities registered with the Charity Commission,North West England and Israel,Torah and Jewish Educational Institutions; Community Care; Special Needs; SSEL Spiritual Social Emotional Education; Social Services,,no applications from individuals,closed,"January 1, 2026, to March 31, 2026",Overseas applicants must supply details of their charitable status; chances of grant success are lower for charities based outside the main areas of support.,Not Eligible,[Score: 5] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: services: care | ✗ Applications CLOSED | ⚠ Restrictions apply: no applications from individuals...,4.0,4.0,2025-10-14 11:20:39,,sfct.co.uk
https://thebritfordbridgetrust.org/,thebritfordbridgetrust.org,UK registered charities,"UK, Dorset, Cambridge",prevention or relief of poverty; advancement of education; advancement of health; saving of lives; advancement of the arts; culture; heritage; science,,applications from overseas charities and causes; medical research; successive applications are unlikely to succeed,open,"30 March, 30 June, 30 September, 31 December","Applications are reviewed quarterly; if no funding has been granted after 2 applications, further applications are unlikely to succeed.",Possibly Eligible,"[Score: 30] ✓ Registered charities eligible | ✓ UK/England-wide funding (includes Kent) | ✓ Beneficiary alignment: general health/care | ✓ Applications open | ⏰ Deadline: 30 March, 30 June, 30 September, 31 December | ✗✗ CRITICAL: Core activities may be excluded - medical",6.0,6.0,2025-10-14 11:17:36,,thebritfordbridgetrust.org
