fund_url,fund_name,applicant_types,geographic_scope,beneficiary_focus,funding_range,restrictions,application_status,deadline,notes,eligibility,evidence,pages_scraped,visited_urls_count,extraction_timestamp,error,source_folder
https://abcharitabletrust.org.uk,abcharitabletrust.org.uk,"Registered UK charities (England and Wales, Scotland, Northern Ireland)",UK,migrants; refugees; people seeking asylum; marginalised and excluded communities facing intersecting disadvantages; racialised groups; people facing discrimination for protected characteristics,"£10,000 - £30,000 per annum (typically multi-year grants over 2-5 years)","Annual income must be between £150,000 and £1.5 million (for last three years); Must be a registered UK charity; Must have operated for at least one year with audited/independently examined accounts; No funding for individuals; No funding for the promotion of religion; No capital appeals; No academic research; No charities working outside the UK; Work must be aligned with one of the Trust's four priority areas (majority or sole focus); organisations with a broader remit are unlikely to be funded",open,"Quarterly deadlines; next deadlines for 2025/26 are Decisions in January 2026, April 2026, July 2026, October 2026","Priority is given to organisations whose main or majority focus is on the Trust's priority areas, such as supporting migrants, refugees, and marginalised communities. Organisations with a broader remit are advised to contact the Trust before applying. Grants are usually unrestricted and multi-year.",Not Eligible,"ellenor Hospice is a registered UK charity and meets the geographic and legal applicant requirements. However, the Trust's funding is strictly for organisations whose sole or majority focus is on supporting migrants, refugees, and marginalised/excluded communities. ellenor Hospice's core activities are palliative and end-of-life care for a general population (babies, children, adults, families) in Kent, not specifically for migrants or refugees. The Trust states: 'This must be either the sole focus, or the majority of your work and we are unlikely to fund organisations with a broader remit.' Therefore, ellenor Hospice does not meet the beneficiary or priority focus required and is not eligible.",6,6,15/10/2025 10:28,,abcharitabletrust.org.uk
https://bagrifoundation.org,bagrifoundation.org,charities; cultural organisations; artists; experts from across Asia or those inspired by the continent,"UK (with international partnerships, but based in London, England)",arts organisations; artists; programmes sharing traditional and contemporary Asian culture; cross-cultural dialogue; Asian diaspora,Not stated,"Focus is exclusively on arts and culture relating to Asia or Asian diaspora; No mention of health, palliative care, or hospice funding; Projects must share or be inspired by Asian culture",unclear,Not stated,"Funding is for high-quality arts and cultural programmes relating to Asia or the Asian diaspora. No evidence of support for health, social care, or hospice activities.",Not Eligible,"The Bagri Foundation's mission is to 'support and realise unique, high-quality programmes which share traditional and contemporary Asian culture.' All funding and partnership examples are for arts, culture, and education projects with a clear Asian cultural focus. There is no mention of health, palliative care, or hospice funding, and the Foundation's aims and values are exclusively arts/culture-oriented. Ellenor Hospice, as a palliative care provider, does not fit the beneficiary focus or project criteria. No evidence suggests hospices or health charities are eligible.",15,15,15/10/2025 10:32,,bagrifoundation.org
https://beaverbrookfoundation.org,beaverbrookfoundation.org,UK registered charities; small charities; charitable organisations,UK,general charitable purposes; healthcare; education; arts; community projects,a few thousand pounds (small donations) - unspecified upper limit,focus on small charitable projects; no explicit exclusions for hospices or healthcare charities; no detailed published criteria,unclear,not stated,"The Foundation has a history of supporting a wide range of UK charities, including health-related causes (e.g., London's Air Ambulance). Emphasis is on small charities and projects, but larger organisations have also received support. No formal application process or deadlines are published.",Eligible,"1. The Foundation is a 'UK registered charity dedicated to supporting good causes' and has supported 'over 870 charitable organisations' in the UK. 2. The 'Charities' page states a focus on 'supporting small charitable projects', but does not exclude larger charities. 3. Healthcare is an eligible area, as evidenced by support for London's Air Ambulance and the Institute of Pre-Hospital Care. 4. Geographic scope is UK-wide, which includes Kent. 5. No explicit restrictions against hospices or palliative care organisations are mentioned. 6. Funding is typically 'a few thousand' but not strictly limited, and the Foundation has supported a range of project types. 7. Application process and deadlines are not published, so status is unclear but likely available by enquiry. Overall, ellenor Hospice is a good match as a UK registered charity providing health and palliative care services, though the Foundation appears to favour smaller projects and may require direct contact for application details.",15,15,15/10/2025 10:33,,beaverbrookfoundation.org
https://blackheartfoundation.org,blackheartfoundation.org_welcome,individuals (students); under-resourced young people; organisations supporting educational access for young people,"UK (primarily), some US, open to other resource-limited geographies for education",under-resourced children and young people; students from under-represented backgrounds; young people facing barriers to education; children's health and wellbeing (as it relates to education),"Not explicitly stated; gap-funding and scholarships, typically several thousand pounds per individual; organisational grants not specified","Funding is for educational access, learning, and achievement; Primary focus is on individuals (students) rather than organisations; Applications outside education/learning for young people are not prioritised; No explicit exclusion of hospices, but no evidence of funding for healthcare service delivery",seasonal,Cohort 1: 24 March 2025 - 17 August 2025; Cohort 2: 25 August 2025 - 31 October 2025,"Applications are reviewed twice a year. The Foundation's main focus is on scholarships for individuals, not core funding for organisations. Some grants to organisations are mentioned, but these are for community initiatives supporting young people's education and wellbeing, not direct healthcare or hospice services.",Low Match,"The Black Heart Foundation's funding is primarily directed at individuals (students) from under-resourced backgrounds to support their educational aspirations, as detailed in the Scholarship Programme and FAQ sections. While the Foundation has supported some organisations, these are focused on educational and youth development initiatives (e.g., schools, youth academies, arts centres), not healthcare or hospice service providers. The Foundation does express an interest in children's health and wellbeing, but only as it relates to educational access and achievement. There is no evidence of grants for palliative care, end-of-life care, or direct support for hospices. The application process and eligibility criteria are tailored to individuals, not charities providing healthcare services. Therefore, ellenor Hospice, as a hospice and palliative care provider, is a low match for this funding opportunity.",15,15,15/10/2025 10:33,,blackheartfoundation.org_welcome
https://bluelightcardfoundation.org,bluelightcardfoundation.org,Charities; Charitable Companies (limited by guarantee); Charitable Incorporated Organisations (CIO); Community Interest Companies (CIC); Not-for-profit organisations; Registered or exempt charities; Collaborative partnerships (with a lead eligible organisation),"UK-wide (England, Northern Ireland, Scotland, Wales)",Current or former staff or volunteers within the Blue Light community; NHS staff; Social care staff; Care home staff; Ambulance service; Police; Fire and Rescue; Armed Forces; Foster carers; Residential care; Health and social care sector,"Up to £25,000",Projects must benefit current or former staff or volunteers within the Blue Light community; No contributions to general appeals or circulars; No funding for public bodies carrying out statutory obligations; No retrospective funding (activities already taken place); No activities intended to promote or advance religious or political beliefs; No grant-making by other organisations; No sponsorship; Organisations under investigation or with overdue/qualified accounts or outstanding monitoring ineligible,closed,"Unclear – applications currently closed, check back for next round","Projects must have a sustainability plan post-funding. Grants can cover running costs, projects, or equipment. Must have appropriate governance, safeguarding, and financial controls. Applications are decided quarterly when open.",Eligible,"ellenor Hospice is a registered UK charity providing hospice and palliative care, employing NHS and social care staff and volunteers, which aligns with the Blue Light Card Foundation's definition of the Blue Light community (explicitly includes NHS, social care, care home, and health sector staff). The Foundation funds UK-wide, including Kent. Grants are up to £25,000, suitable for ellenor's scale. Previous grants have been made to hospices (e.g., Mary Stevens Hospice, Saint Catherine’s Hospice) for staff and volunteer wellbeing initiatives, confirming hospices are eligible. However, the funding is restricted to projects that directly benefit Blue Light staff/volunteers (not patients/families), and applications are currently closed with no open deadline. No restrictions exclude hospices, but the current application window is not open. Therefore, ellenor Hospice is 'Eligible' (not 'Highly Eligible') due to the closed status, but should monitor for the next round as it is a strong match when open.",15,15,15/10/2025 10:33,,bluelightcardfoundation.org
https://clothworkersfoundation.org.uk,clothworkersfoundation.org.uk,"UK-registered charities; Not-for-profit organisations with asset locks (e.g. CICs without share capital, Community Benefit Societies)",UK,Communities experiencing racial inequalities; People with physical and/or learning disabilities; People with mental health needs; Families and carers of people with disabilities; Adults and children affected by domestic or sexual abuse; Individuals or communities experiencing economic disadvantage; People who are homeless or at risk of homelessness; LGBT+ communities; Older people facing disadvantage; People in prison and their families; People affected by substance misuse and addiction; Young people facing disadvantage,"Small Grants: up to £15,000 (for orgs with turnover <£2M); Large Grants: over £15,000 (for orgs with turnover <£10M)","Hospices and NHS charities are not eligible; Organisations with more than £10 million income per annum (for Large Grants); Organisations with more than £2 million income per annum (for Small Grants); Organisations that primarily provide services to other organisations (unless direct/front-line services); Grantmaking organisations; Schools, colleges or universities (except special schools/colleges for disabled students); Almshouses; Organisations promoting a particular religion or political party; Organisations with declined applications in the past six months (for the same project); Projects for salaries, overheads, training, rent, project management, marketing, consumables, one-off events, or retrospective costs",rolling,,"Applications must be for capital projects (buildings, refurbishment, equipment, vehicles, digital infrastructure). All applicants must complete an Eligibility Quiz before accessing the application form. At least 50% of service users benefiting from the capital project must be from one or more of the specified beneficiary groups.",Not Eligible,"The Clothworkers' Foundation Open Grants Programme explicitly lists 'Hospices and NHS charities' as ineligible applicant types. ('Hospices and NHS charities' are included in the list of organisations that cannot apply.) While ellenor Hospice is a UK-registered charity with an annual income under £10M and serves relevant beneficiary groups (people with life-limiting conditions, children, families, etc.), the explicit exclusion of hospices overrides all other eligibility factors. Therefore, ellenor Hospice is not eligible to apply for funding from this programme.",15,15,15/10/2025 10:33,,clothworkersfoundation.org.uk
https://cornwallvsf.org,cornwallvsf.org_supporting_funding-category_health-and-wellbeing,UK registered charities; community groups; voluntary organisations; VCSE sector organisations; not-for-profit organisations; Community Interest Companies (for some funds),"Cornwall and Isles of Scilly (some funds UK-wide, but most are Cornwall/Isles of Scilly specific)",local communities in Cornwall and Isles of Scilly; children and young people; people with health and wellbeing needs; grassroots organisations; vulnerable people; people affected by cancer (for specific funds); people with learning disabilities (for specific funds),"Varies by fund; examples: £1,000 - £24,999 (Community Capacity Fund), up to £10,000 (Oliver Ford Foundation), £1,500 - £5,000 (National Garden Scheme), up to £25,000 (James Tudor Foundation Mental Health Grants), up to £650 (VCSE Learning Academy training funding)","Most funds require activity to take place in Cornwall and/or Isles of Scilly; Some funds limited to grassroots or small organisations; Some funds restricted to specific beneficiary groups (e.g., children with learning disabilities, cancer awareness, mental health); VCSE Learning Academy funding is for training only, not travel or other expenses; Some funds require evidence of impact or specific approaches (e.g., trauma-informed, patient-led); Some funds have income thresholds (e.g., under £20m for James Tudor Foundation)",varies by fund; most are open or have specific deadlines; some are rolling,"Varies by fund; e.g., James Tudor Foundation: 5 November 2025; Coast-R Network Small Grants Fund: 31 October 2025; others rolling or not specified","ellenor Hospice is a UK registered charity but is based in Kent, not Cornwall or Isles of Scilly. Most direct funding and support from Cornwall VSF and its partners is restricted to organisations operating in Cornwall and Isles of Scilly. Some UK-wide funds listed (e.g., Oliver Ford Foundation, The Hospital Saturday Fund) may be open to ellenor Hospice, but these are not administered by Cornwall VSF and would require direct application to those funders.",Low Match,"The majority of funding opportunities and support offered by Cornwall VSF are explicitly for organisations operating in Cornwall and the Isles of Scilly. For example, 'We partner with CCF to distribute funds via our Health Improvement Fund and Community Wellbeing Fund, through the People in Mind (PiM) partnership.' and 'Our aim is to support local charities, voluntary groups, and social enterprises to build a stronger and more sustainable community sector [in Cornwall and Isles of Scilly].' While some UK-wide funds are listed (e.g., The Hospital Saturday Fund, Oliver Ford Foundation), these are not specific to Cornwall VSF and are simply signposted for the benefit of local organisations. ellenor Hospice, being based in Kent, does not meet the core geographic eligibility for Cornwall VSF-administered funds. There is a low match for UK-wide funds that are merely listed on the site, but no direct eligibility for Cornwall VSF's own or Cornwall/Isles of Scilly-specific funding. Recommendation: ellenor Hospice should apply directly to the UK-wide funders listed, not through Cornwall VSF.",15,15,15/10/2025 10:34,,cornwallvsf.org_supporting_funding-category_health-and-wellbeing
https://lef.org.uk,lef.org.uk,charities; organisations using the law for social justice; ‘by and for’ organisations exploring legal strategies,UK-wide,communities facing injustice; marginalised communities; organisations using/shaping the law; social justice movements,"£50,000 - £100,000 per year (Strengthening Justice fund); up to £50,000 (Emerging Justice fund, up to 12 months); £50,000 - £75,000 per year (Emerging Justice fund, up to 3 years)","Funding is for organisations using or seeking to use the law as a tool for social justice; Focus on systemic change, legal strategies, advocacy, or movement building; Not for general health or palliative care service delivery; No explicit exclusion of hospices, but core activity must align with legal/social justice aims",open,18 September 2025 (Strengthening Justice fund); other funds may have different or rolling deadlines,Applicants must demonstrate work connecting law and communities to achieve social justice. Funding is not for direct service delivery unless it is part of a legal strategy or advocacy for systemic change.,Low Match,"1. The Legal Education Foundation funds UK-wide and accepts applications from charities and organisations, which matches ellenor Hospice's status and location. 2. However, the funding focus is on 'organisations using and shaping the law with communities' and 'support for organisations to explore adding the law to their campaigns.' 3. The core activities of ellenor Hospice (palliative care, bereavement support, therapies) do not align with the fund's requirement for legal strategy, advocacy, or systemic change work. 4. There is no explicit exclusion of hospices, but the foundation's materials repeatedly emphasise legal empowerment, social justice, and systemic change, not health or care service provision. 5. Funding amounts and deadlines are suitable, but the primary barrier is the lack of alignment between ellenor Hospice's core work and the fund's legal/social justice focus. 6. Unless ellenor Hospice is running a project that uses the law to address injustice or systemic barriers for their beneficiaries, they are unlikely to be competitive. Recommendation: Only consider if ellenor Hospice has a legal advocacy or rights-based project; otherwise, not a good fit.",15,15,15/10/2025 10:46,,lef.org.uk
https://lordandladywolfson.org.uk,lordandladywolfson.org.uk,UK universities; charities (for research and education in preventative medicine or wellbeing),UK,public benefit in preventative medicine; wellbeing; health research; arts/music/architecture in healthcare,"Not stated; past grants include £100,000/year and multi-million totals","Applications for Grants are now closed for 2025/2026; Focus on preventative medicine and wellbeing; Primarily supports research in UK universities; Emphasis on research and education, not direct service delivery",closed,Applications for Grants are now closed for 2025/2026,"The Foundation prioritises research and education in preventative medicine and wellbeing, with a particular focus on UK universities. Direct service delivery (such as hospice care) is not mentioned as a funding priority.",Not Eligible,"1. Applications are explicitly closed for 2025/2026: 'Applications for Grants are now closed for 2025/2026.' 2. The Foundation's focus is on 'the advancement of research and education for the public benefit in preventative medicine or surgery and research,' and it is 'supporting research in UK universities.' 3. While charities are mentioned, the emphasis is on research and education, not direct palliative or hospice care. 4. ellenor Hospice's core activities are direct care and support, not research or education in preventative medicine. 5. No indication that hospices or palliative care service providers are a funding priority. 6. Therefore, ellenor Hospice is not eligible at this time.",15,15,15/10/2025 10:46,,lordandladywolfson.org.uk
https://michaelbishopfoundation.org,michaelbishopfoundation.org,Registered UK charities,United Kingdom,Health; Science; Education; Heritage; Arts and Culture; Human Rights and Social Justice,Not specified; grants must not exceed applicant's annual turnover,"No animal welfare; No non-UK charities; No activities outside the UK (except Glendonbrook Foundation); No general fundraising appeals; No individuals; No overseas travel; No one-off events or festivals; No advancement of religion; No sports and recreation; No retrospective funding; No NHS hospital trusts; No campaigning or lobbying; No endowments or contributions to other grant making charities; No websites, publications or seminars; No property or vehicle purchase; No applications turned down in previous 12 months; No grants larger than annual turnover; No new organisations without at least one year’s published accounts",seasonal,March and September (applications reviewed in April and October),"Applications must be from established UK charities with at least one year’s published accounts. Funding is available in five focus areas, including Health. Applications outside these areas may be considered with prior contact.",Highly Eligible,"ellenor Hospice is a registered UK charity with a strong track record and annual income of £8.2M, meeting the requirement for established organisations with published accounts. The Foundation's focus areas explicitly include 'Health', and there are no restrictions excluding hospices or palliative care providers. The geographic scope is UK-wide, which includes Kent. Applications are accepted twice yearly (March and September), and the funding amount is not specified but must not exceed the applicant's annual turnover, which is suitable for ellenor Hospice. The only notable restrictions (e.g., no NHS hospital trusts, no individuals, no animal welfare) do not apply to ellenor Hospice. Therefore, ellenor Hospice is highly eligible to apply.",5,5,15/10/2025 10:46,,michaelbishopfoundation.org
