fund_url,charity_name,registered_charity_number,charity_contact_email,charity_contact_phone,charity_contact_postcode,charity_activities,latest_income,latest_expenditure
www.aylesburylions.org.uk,Aylesbury Vale Lions Club (CIO),1181224,contact@aylesburylions.org.uk,01296 929099,OX9 2LT,"We make donations and grants to applications generally from Aylesbury and the surrounding areas. We raise funds through can collections, providing BBQs in support of local community and charity events. We have supported Hearing Dogs, Florence Nightingale Hospice, SeeAbilty, Christmas food parcels for the disadvantaged elderly, Young Carers, Women's Aid and several more.",3950.0,5568.0
www.cambornechristianspiritualistchurch.org,CAMBORNE CHRISTIAN SPIRITUALIST CHURCH,1114339,mother_jeanette@yahoo.co.uk,01209612116,TR14 8SS,"The Charity primary activity is religious activities and the raising of funds to financially support its' local Crisis Centre, Hospices and animal sanctuaries.It has also given grant aid to individuals who are in most need.",6756.0,3840.0
childsentinel.org,CHILD SENTINEL TRUST,1141908,info@childsentinel.org,02081441115,PO19 3PX,"The Charity provided financial aid to children disadvantaged by physical or mental disability, political or environmental disaster, physical or mental abuse, or poverty to achieve their full potential through education, training, therapy, or medical treatment. We provide grants to schools teaching children with profound disabilities and children's hospices in UK.",0.0,0.0
www.fightlikeakid.org.uk,FIGHT LIKE A KID,1169805,info@fightlikeakid.org.uk,07774319648,BB2 4JH ,"Supporting children and their families going through their cancer diagnosis and treatment.  This by means of providing  facilities for recreation, financial assistance (small grants), emotional and practical advice.  Providing help and assistance to Oncology wards, children's hospice (oncology patients).",12679.0,10152.0
www.hillardstrust.org,GAY AND PETER HARTLEY'S HILLARDS CHARITABLE TRUST,327879,Secretary@hillardstrust.org,07985662840,LS17 8AW,"Gay & Peter Hartley's Hillards Trust makes grants to charities that support children's welfare, care for the elderly, mental/physical health, disability, & hospices. Grants are made up to £1,000 to local charities in towns in 11 counties in north and central England - mainly in Yorkshire, Lancashire, Lincolnshire, Derbyshire & Nottinghamshire. See www.hillardstrust.org for more details.",92351.0,86940.0
https://hertscommunitynursescharity.co.uk/,HERTFORDSHIRE COMMUNITY NURSES CHARITY,1158593,suzy@hertscommunitynursescharity.co.uk,07783968204,SG12 9BY,"Grants and other financial help for the training and general welfare of Community Nurses, (including nurses in general practice, hospice nurses working in the community and nurses practicing community nursing in Hertfordshire).  Also help towards improving working conditions/equipment.There are 10 apartments located at Knebworth in Hertfordshire, which are let to working and retired nurses.",104137.0,39105.0
https://www.jessgrantcelebration.org.uk,JESS GRANT CELEBRATION,1179649,inquiries@jessgrantcelebration.org.uk,07506913400,IP17 1QA,"RAISING FUNDS TO SUPPORT ADDENBROOKES HOSPITAL, IPSWICH HOSPITAL & EAST ANGLIAN CHILDREN?S HOSPICES.  MAKING GRANTS TOWARDS FUNDING A MUSIC THERAPY POST, SUPPLYING MUSIC TROLLEYS THAT CAN BE USED FOR MUSICAL ACTIVITIES WHILE CHILDREN ARE STAYING IN HOSPITAL, & PROVIDING GIFTS OF MUSICAL INSTRUMENTS OR OTHER MUSIC RELATED ITEMS TO INDIVIDUALS, VIA REQUESTS FROM THE HOSPITAL PAEDIATRIC DEPARTMENTS.",4788.0,5514.0
www.lurgantrust.org,LORD AND LADY LURGAN TRUST,297046,Info@lurgantrust.org,07368 652694,WC2A 3TH,Music and the encouragement of young musicians is a key activity. Other grants in the England and Northern Ireland are mainly to medical causes with an emphasis on research and medical conditions affecting older people the care of people suffering from cancer including support for hospices and disability particularly deafness. In South Africa grants are given in areas of perceived need.,14295.0,49100.0
www.mattsmattsmission.co.uk,MATT'S MISSION,1146267,contact@mattsmission.co.uk,07713498200,B35 7PR,"Matts Mission Children's Charity grants wishes to seriously ill children with Cancer and Special Needs. The charity aim is all about making children's smiles glow, we provide family trips as well as gifts to children in a hospital or hospice. The charity has an adapted holiday home in which we provide free breaks for the whole family. We also offer sibling support sessions.",54251.0,57123.0
www.bibleontees.com,MIDDLESBROUGH CHRISTADELPHIAN ECCLESIA,230534,,01642898123,TS15 9HG,"The charity engages in religious activities, worship and preaching. We provide for the welfare of our members, providing assistance and grants for those in need, including homes for the elderly. Also we support financially local hospices and worldwide charities, especially in the event of an international emergency.",11297.0,14356.0
